#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,62241.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62241.69,0.00,None,848980.18,848980.18
BermSwp_01,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_02,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_03,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_04,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_05,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_06,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_07,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_08,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_09,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_10,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_11,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
BermSwp_12,CPTY_A,5186.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,70748.35,70748.35
